"SALK_Line","germ","fitness","fitdev","treattype","fitmean","fitnogermmn","pot","treattype.badT","line","Pot2","tray","biomass","fruitnum","abortnum","silique","tray1","treat1","pot3","height","leaf","rosediam","surv","fitnogerm","fitdevng","fitdev.all","fitdevng.all","percent","Gene","tagnum","abortn","alive.at.harvest","treat","area.ratio","FamilySize","GeneFamilyName","SFamilySize","ratiocat","Regulatory"
"CS60000",1,0,-12.5,"highwater",12.5,12.5,241,"FERTILIZER","cs60000",241,".",NA,0,".",".",13,"high H2O",241,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,11,-1.5,"highwater",12.5,12.5,175,"FERTILIZER","cs60000",175,"9",0.01,11,"1","8.3",9,"high H2O",175,129,6,2.8,1,11,-1.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,51,38.5,"highwater",12.5,12.5,151,"FERTILIZER","cs60000",151,"8",0.08,51,"7","10.6",8,"high H2O",151,324,25,4.19,1,51,38.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,53,-52.3,"control",105.3,105.3,137,"CONTROL","cs60000",137,"7",0.07,53,"20","14.7",7,"control",137,268,26,4.63,1,53,-52.3,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,63,50.5,"highwater",12.5,12.5,199,"FERTILIZER","cs60000",199,"10",0.05,63,"7","8",10,"high H2O",199,298,10,5.5,1,63,50.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,101,-4.3,"control",105.3,105.3,34,"CONTROL","cs60000",34,"2",0.1,101,"48","11.3",2,"control",34,234,25,7.01,1,101,-4.3,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,109,3.7,"control",105.3,105.3,131,"CONTROL","cs60000",131,"7",0.13,109,"33","12.5",7,"control",131,348,36,7.81,1,109,3.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,130,24.7,"control",105.3,105.3,97,"CONTROL","cs60000",97,"5",0.14,130,"55","13.7",5,"control",97,336,44,6.92,1,130,24.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,135,29.7,"control",105.3,105.3,4,"CONTROL","cs60000",4,"1",0.21,135,"40","8.4",1,"control",4,322,45,7.23,1,135,29.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,156,50.7,"control",105.3,105.3,26,"CONTROL","cs60000",26,"2",0.18,156,"27","7.1",2,"control",26,334,26,7.84,1,156,50.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,164,121.777777777778,"nutrient",42.2222222222222,76,383,"HI WATER","cs60000",383,"20",0.41,164,"17","12",20,"high nutrients",383,355,54,8.12,1,164,88,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,177,71.7,"control",105.3,105.3,73,"CONTROL","cs60000",73,"4",0.25,177,"22","9.9",4,"control",73,459,36,11.35,1,177,71.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,192,86.7,"control",105.3,105.3,1,"CONTROL","cs60000",1,"1",0.22,192,"44","12.2",1,"control",1,302,47,7.88,1,192,86.7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,216,173.777777777778,"nutrient",42.2222222222222,76,370,"HI WATER","cs60000",370,"19",0.25,216,"99","12",19,"high nutrients",370,350,57,9.78,1,216,140,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,NA,NA,"nutrient",42.2222222222222,76,387,"HI WATER","cs60000",387,"20",NA,NA,".",".",20,"high nutrients",387,NA,NA,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,824,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,820,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1034,55,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,491,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,488,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,402,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,774,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,395,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,396,NA,0,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,0,-39.3954545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1032,94,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,3.4668,-35.9286545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,97,135,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,3.4668,-35.9286545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1240,4,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,3.4668,-35.9286545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,397,10,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,4.3335,-35.0619545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1035,3,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,4.3335,-35.0619545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1012,9,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,4.3335,-35.0619545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,674,8,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,5.2002,-34.1952545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1037,6,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,5.2002,-34.1952545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1213,12,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,6.9336,-32.4618545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1219,11,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,6.9336,-32.4618545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1019,3,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,7.8003,-31.5951545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1018,6,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,7.8003,-31.5951545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,822,9,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,8.667,-30.7284545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1214,15,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,9.5337,-29.8617545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1215,7,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,11.2671,-28.1283545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1247,5,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,13.0005,-26.3949545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,821,6,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,13.0005,-26.3949545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,831,140,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,13.0005,-26.3949545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,399,37,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,13.8672,-25.5282545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1017,19,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,13.8672,-25.5282545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1210,13,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,14.7339,-24.6615545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1029,23,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,15.6006,-23.7948545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,91,216,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,15.6006,-23.7948545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1027,7,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,15.6006,-23.7948545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1243,13,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,16.4673,-22.9281545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1015,5,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,16.4673,-22.9281545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,829,85,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,16.4673,-22.9281545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1244,28,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,16.4673,-22.9281545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,401,43,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,17.334,-22.0614545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1246,35,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,18.2007,-21.1947545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,819,13,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,19.0674,-20.3280545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1241,16,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,19.0674,-20.3280545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,768,110,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,19.0674,-20.3280545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1211,19,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,22.5342,-16.8612545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1031,35,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,22.5342,-16.8612545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1010,156,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,23.4009,-15.9945545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,92,13,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,23.4009,-15.9945545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1040,29,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,24.2676,-15.1278545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,818,13,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,24.2676,-15.1278545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,767,60,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,25.1343,-14.2611545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,400,31,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,26.001,-13.3944545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1217,26,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,26.001,-13.3944545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1030,17,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,26.001,-13.3944545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1039,27,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,26.001,-13.3944545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1245,21,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,28.6011,-10.7943545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1016,23,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,31.2012,-8.19425454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,398,16,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,32.0679,-7.32755454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,765,38,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,32.0679,-7.32755454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1033,30,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,33.8013,-5.59415454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,93,11,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,33.8013,-5.59415454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1239,25,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,33.8013,-5.59415454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1238,28,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,34.668,-4.72745454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,823,27,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,35.5347,-3.86075454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,90,143,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,35.5347,-3.86075454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1038,30,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,36.4014,-2.99405454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1208,107,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,36.4014,-2.99405454545455,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,676,16,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,37.2681,-2.12735454545454,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1013,49,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,39.0015,-0.393954545454548,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1212,29,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,39.8682,0.472745454545453,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1209,49,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,40.7349,1.33944545454546,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,679,32,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,40.7349,1.33944545454546,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,394,28,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,41.6016,2.20614545454546,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,775,27,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,42.4683,3.07284545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,670,32,1,"control",NA,NA,"Control",NA,NA,NA
"CS60000",13,42.4683,3.07284545454545,"FIRST.EXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,87,55,1,"control",NA,NA,"Control",NA,NA,NA
