"GeneFamilyName","SALK_Line","tagnum","fruits.removed","alive.at.harvest","treat","SALK_line","line","sown","germ","percent","comment","Gene_Family","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","gene.family.size","delfield","cntrl","Freq"
"Acyl Lipid Metabolism Family","SALK_126600C",953,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",340,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",342,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",959,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_118043C",1340,0,1,"treat","SALK_118043c","118043c",12,4,33.33,"","Acyl Lipid Metabolism Family","AT5G64440","salk","SALK_118043","Fatty Acid Amide Hydrolase ","NULL","NULL","T12B11.3","At5g64440","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",339,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",196,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",338,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",347,3,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",193,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",344,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",189,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",711,3,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",337,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",954,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",343,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",957,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",960,0,0,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1263,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1267,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",955,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",190,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",188,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1268,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",187,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",958,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",961,0,0,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",956,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_118043C",1339,0,1,"treat","SALK_118043c","118043c",12,4,33.33,"","Acyl Lipid Metabolism Family","AT5G64440","salk","SALK_118043","Fatty Acid Amide Hydrolase ","NULL","NULL","T12B11.3","At5g64440","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",191,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",718,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1265,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",195,3,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",712,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",716,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_097868C",744,3,1,"treat","SALK_097868c","097868c",10,1,10,"","Acyl Lipid Metabolism Family","AT1G08980","salk","SALK_097868","Fatty Acid Amide Hydrolase ","NULL","NULL","F7G19.15","At1g08980","NULL","NULL","NULL","NULL","NULL","amidase","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",717,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_118043C",1341,3,1,"treat","SALK_118043c","118043c",12,4,33.33,"","Acyl Lipid Metabolism Family","AT5G64440","salk","SALK_118043","Fatty Acid Amide Hydrolase ","NULL","NULL","T12B11.3","At5g64440","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",952,3,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",714,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",719,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",962,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_126600C",963,0,1,"treat","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",715,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"basic region leucine zipper (bZIP) Transcription Factor","SALK_138872C",587,0,1,"treat","SALK_138872c","138872c",18,9,50,"","basic region leucine zipper (bZIP) Transcription Factor","AT4G34000","salk","SALK_138872","NULL","BZIP37","ABF3","F28A23.230","AT4G34000","NULL","AF093546","NULL","NULL","NULL","abscisic acid responsive elements-binding factor(ABF3); identical to abscisic acid responsive elements-binding factor (ABF3) GI:6739280 from (Arabidopsis thaliana) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,0,"Treatments",74
